Town,Ward,Precinct,dem_2014gov,dem_2014sen,dem_2012sen,q1_2008_yes,q2_2008_yes,q3_2008_yes,q1_2010_yes,q2_2010_yes,demgov2010,pres2008_obama,q2_2012_yes,q3_2012_yes,q1_2014_yes,q2_2014_yes,q3_2014_yes,q4_2014_yes,dem2013_lynch,rep2016_trump,dem2016_bernie,vote2012,vote2014,rep2016_vote,Population,White,Black,Hispanic,Asian,Income,Education,White_Education,dem_2016pres,dem_2012pres,Minority,White_College,White_NoCollege,rep_2012pres,rep_2016pres,vote2016,turnout_chg,stein_2016pres,johnson_2016pres,legalweed,shift16_rep,Bernie_Votes,charterschools,weed_trumpfiterr,k_clusters,k_8clusters,Predict_2016,shift16_dem,Predict_2016_err,stein_johnson,margin16,margin12,shift_margin,Predict_no3rdparty_err,Predict_no3rdparty_noed_err,k_means_pca,pca1,pca2,pca3,shp_match
Acton,-,6,0.51394422310757,0.626373626373626,0.547252747252747,0.315004127736072,0.670265723905693,0.673326248761739,0.425969770457131,0.486510374162645,0.580497419101085,0.646310357638925,0.593854748603352,0.662366797532249,0.522906793048973,0.396591789310612,0.545525291828794,0.595761381475667,0.222950819672131,0.31404958677686,0.45873786407767,1836,1309,363,3503,0.799029403368541,0.00913502711961176,0.0376819868683985,0.119040822152441,100,0,70,0.708900523560209,0.619333697433097,0.200970596631459,0.559320582357979,0.239708821010562,0.364923747276688,0.209947643979058,1941,0.0571895424836601,0.0157068062827225,0.0408376963350785,0.519160104986877,-0.154976103297631,0.283338092518561,0.404153354632588,-0.0429338831522438,6,6,0.687496541815151,0.0895668261271128,-0.0214039817450584,0.056544502617801,0.498952879581152,0.254409950156408,0.244542929424744,-0.0545201541904535,0.00409979916147001,7,0.12398639743957,0.177797124408663,-0.165269394680666,193
Acushnet,-,1,0.546652030735456,0.665625,0.581196581196581,0.264968968759729,0.569491931536223,0.437536955933495,0.54668604121812,0.388134026520746,0.621647925252884,0.617073009133561,0.390840652446675,0.615776081424936,0.514818880351262,0.201431492842536,0.267144319344933,0.602880658436214,0.576687116564417,0.607250755287009,0.480874316939891,1669,1000,331,3278,0.955155582672361,0.00457596095179988,0.0125076266015863,0.0036607687614399,63,0,21,0.468301435406699,0.628189550425273,0.0448444173276388,0.200582672361196,0.754572910311165,0.343918514080288,0.470095693779904,1702,0.0197723187537449,0.0155502392344498,0.034688995215311,0.542044767090139,0.126177179699617,0.297917341950777,0.350609756097561,0.0385218468478504,3,4,0.516866345561805,-0.159888115018575,0.0485649101551064,0.0502392344497608,-0.00179425837320574,0.284271036344986,-0.286065294718191,0.113892746492099,-0.00325820998856652,8,-0.169477467252619,-0.123014277164992,0.139858073053158,1060
Acushnet,-,2,0.451612903225806,0.579847908745247,0.49357900614182,0.285302175391474,0.555180383742399,0.428443294988838,0.572914772419983,0.445451455064156,0.554054958465206,0.55858380259798,0.365217391304348,0.579318448883666,0.513888888888889,0.182825484764543,0.301104972375691,0.577386468952734,0.536144578313253,0.635922330097087,0.455056179775281,1821,1109,412,3513,0.966125818388841,0.00341588385994876,0.0105323085681753,0.00370054084827783,65,0,22,0.394984326018809,0.532186459489456,0.0338741816111585,0.212547680045545,0.753578138343296,0.440966501922021,0.544932079414838,1958,0.0752333882482152,0.0151515151515152,0.0297805642633229,0.511664899257688,0.103965577492817,0.239647927734483,0.386958845537146,-0.00219908909485533,1,4,0.444825829054372,-0.137202133470647,0.0498415030355637,0.044932079414838,-0.149947753396029,0.0912199575674353,-0.241167710963465,0.122634339371505,-0.0056555182807061,4,-0.280886951686017,-0.116170580088947,0.0996028091109322,1059
Acushnet,-,3,0.445732349841939,0.577309236947791,0.49336165693043,0.252657113089084,0.538804483990177,0.427702792115094,0.570058339772531,0.403371586825093,0.57388653964197,0.562448398433069,0.351487928130264,0.577689243027888,0.526483050847458,0.170779861796644,0.296078431372549,0.583415597235933,0.554973821989529,0.643229166666667,0.479166666666667,1908,1036,384,3512,0.966400911161731,0.00597949886104784,0.0116742596810934,0.00170842824601367,78,0,24,0.435353535353535,0.555086979441223,0.0335990888382688,0.231936218678816,0.734464692482916,0.429245283018868,0.507575757575758,2012,0.0545073375262055,0.0161616161616162,0.0297979797979798,0.483572895277207,0.0783304745568896,0.264445754716981,0.336438923395445,-0.0240096395511904,1,4,0.469648578211296,-0.119733444087688,0.0342950428577606,0.045959595959596,-0.0722222222222222,0.125841696422355,-0.198063918644577,0.0851749265711324,0.000291582989486783,4,-0.268389944494584,-0.134665175563604,0.105493149639853,1058
Adams,-,1,0.706989247311828,0.760526315789474,0.654285714285714,0.197513812154696,0.545706371191136,0.638504155124654,0.38560411311054,0.285714285714286,0.743732590529248,0.755047106325706,0.511695906432749,0.603293413173653,0.467391304347826,0.509138381201044,0.297872340425532,0.661333333333333,0.28169014084507,0.571428571428571,0.545098039215686,708,395,91,1679,0.950565812983919,0.00714711137581894,0.0142942227516379,0.00714711137581894,41,0,20,0.583776595744681,0.742574257425743,0.049434187016081,0.190113162596784,0.760452650387135,0.231638418079096,0.339095744680851,767,0.0833333333333333,0.0265957446808511,0.0438829787234043,0.588313413014608,0.107457326601755,0.404204054503157,0.323529411764706,0.0738485078021981,2,7,0.60186412704624,-0.158797661681062,0.0180875313015595,0.0704787234042553,0.24468085106383,0.510935839346647,-0.266254988282817,0.0295420140418095,0.0127505526315425,2,0.136035126048128,0.0330573433683563,0.219350680782588,197
Adams,-,2,0.688221709006928,0.752808988764045,0.675914249684741,0.210023866348449,0.519138755980861,0.605042016806723,0.433537832310838,0.288421052631579,0.713973799126638,0.750873108265425,0.509752925877763,0.627968337730871,0.472850678733032,0.433628318584071,0.323660714285714,0.653932584269663,0.294573643410853,0.483870967741935,0.5,801,460,93,1672,0.965909090909091,0.00657894736842105,0.00717703349282297,0.00239234449760766,42,0,20,0.582619339045288,0.762562814070352,0.0340909090909091,0.193181818181818,0.772727272727273,0.214731585518102,0.330477356181151,829,0.0349563046192261,0.0208078335373317,0.0538555691554468,0.565483476132191,0.115745770663048,0.378901373283396,0.287822878228782,0.0493848897569069,2,7,0.614251717167609,-0.179943475025064,0.0316323781223218,0.0746634026927785,0.252141982864137,0.547831228552249,-0.295689245688112,0.0437824037481257,0.0263254788421993,2,0.130109909516551,0.017833396941765,0.153759278826764,198
Adams,-,3,0.696821515892421,0.759708737864078,0.681638044914135,0.193670886075949,0.554278416347382,0.624203821656051,0.410596026490066,0.321348314606742,0.734831460674157,0.702366127023661,0.483739837398374,0.614010989010989,0.485294117647059,0.552884615384615,0.300733496332518,0.698067632850242,0.306306306306306,0.464285714285714,0.483870967741935,768,431,84,1731,0.963604852686308,0.00519930675909879,0.00635470826112074,0.0098209127671866,41,0,21,0.587144622991347,0.759791122715405,0.0363951473136915,0.202357019064125,0.761247833622184,0.220052083333333,0.331273176761434,819,0.06640625,0.0210135970333745,0.0444993819530284,0.573033707865168,0.111221093428101,0.366683467741935,0.304619225967541,0.0573146887519754,2,7,0.616212036303565,-0.172646499724057,0.0290674133122175,0.065512978986403,0.255871446229913,0.539739039382071,-0.283867593152158,0.0422555105162677,0.0231614650967373,2,0.201557405237627,0.0368884965073615,0.144890092176144,199
Adams,-,4,0.755844155844156,0.807106598984772,0.752380952380952,0.198630136986301,0.529331514324693,0.628222523744912,0.368932038834951,0.247549019607843,0.79064039408867,0.785619174434088,0.548022598870056,0.67425320056899,0.424479166666667,0.511335012594458,0.347938144329897,0.67948717948718,0.297029702970297,0.655172413793103,0.538461538461538,740,406,87,1656,0.959541062801932,0.00966183574879227,0.0181159420289855,0.00181159420289855,43,0,19,0.609289617486339,0.800542740841248,0.0404589371980676,0.182312801932367,0.777228260869565,0.174324324324324,0.318306010928962,740,0,0.0204918032786885,0.0423497267759563,0.59500693481276,0.143981686604637,0.429313929313929,0.325484764542936,0.0760760582993196,3,8,0.64097385902574,-0.19125312335491,0.0316842415394016,0.0628415300546448,0.290983606557377,0.626218416516924,-0.335234809959547,0.0579541346345218,0.0118436841557716,2,0.180490997902711,-0.0132593373717191,0.289173981357857,200
Adams,-,5,0.728346456692913,0.777988614800759,0.694260485651214,0.172489082969432,0.536105032822757,0.638251366120219,0.368421052631579,0.24169741697417,0.760314341846758,0.748674443266171,0.494407158836689,0.605381165919282,0.465648854961832,0.482374768089054,0.355140186915888,0.714285714285714,0.269503546099291,0.565656565656566,0.494535519125683,914,546,99,1747,0.971951917572982,0.00171722953634803,0.0120206067544362,0.00228963938179737,41,0,21,0.633369923161361,0.776560788608981,0.0280480824270177,0.204109902690326,0.767842014882656,0.202407002188184,0.28430296377607,925,0.0120350109409191,0.0120746432491767,0.0493962678375412,0.543454345434543,0.0818959615878864,0.38361672107233,0.328918322295806,0.0135704702534386,3,8,0.627504359794401,-0.14319086544762,-0.00586556336696042,0.0614709110867179,0.349066959385291,0.574153786420798,-0.225086827035507,-0.0284563936762781,0.0204921928553121,2,0.180823446861876,-0.033493132374416,0.167039994946899,201
Agawam,-,1,0.384353741496599,0.516785350966429,0.473856209150327,0.285326086956522,0.62020202020202,0.657219973009447,0.587392550143266,0.3955296404276,0.453527435610302,0.519205298013245,0.454849498327759,0.611520428667113,0.546812749003984,0.162813102119461,0.377649325626204,0.59086491739553,0.504424778761062,0.562691131498471,0.5675,1546,1046,327,3593,0.915391038129697,0.0119677150013916,0.0459226273309212,0.0180907319788478,45,0,20,0.398358585858586,0.551589876703439,0.0846089618703034,0.183078207625939,0.732312830503757,0.430142302716688,0.52209595959596,1605,0.0381630012936611,0.0208333333333333,0.0517676767676768,0.524290220820189,0.0919536568792713,0.312014877102199,0.34373010821133,0.0140401721487062,1,4,0.462131853125567,-0.153231290844853,0.0637732672669816,0.0726010101010101,-0.123737373737374,0.121447573986751,-0.245184947724125,0.12257674563149,0.0213456495875511,4,-0.266212180510276,-0.00363872670501118,0.14287313530656,1061
